datetime_of_operation,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-07T20:33:06.758762,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/1.JPG,1.JPG,Nominal,0.503,0.497,Image 1.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:07.013221,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/10.JPG,10.JPG,Nominal,0.503,0.497,Image 1.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:07.278211,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/11.JPG,11.JPG,Nominal,0.505,0.495,Image 11.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:07.535503,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/12.JPG,12.JPG,Nominal,0.504,0.496,Image 11.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:07.796800,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/16.JPG,16.JPG,Nominal,0.503,0.497,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:08.021967,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/17.JPG,17.JPG,Nominal,0.502,0.498,Image IMG_1456.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:08.245360,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/2.JPG,2.JPG,Nominal,0.502,0.498,Image 1.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:08.458856,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/21.JPG,21.JPG,Nominal,0.504,0.496,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:08.723226,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/3.JPG,3.JPG,Nominal,0.502,0.498,Image 6.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:09.128307,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/4.JPG,4.JPG,Nominal,0.503,0.497,Image 1.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:09.514412,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/5.JPG,5.JPG,Nominal,0.502,0.498,Image 6.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:09.895761,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/6.JPG,6.JPG,Nominal,0.504,0.496,Image 6.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:10.265525,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/7.JPG,7.JPG,Nominal,0.502,0.498,Image 1.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:10.610455,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/8.JPG,8.JPG,Nominal,0.503,0.497,Image 1.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:10.998701,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/9.JPG,9.JPG,Nominal,0.503,0.497,Image 6.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:11.410298,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1436.JPG,IMG_1436.JPG,Nominal,0.505,0.495,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:11.800231,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1437.JPG,IMG_1437.JPG,Nominal,0.505,0.495,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:12.192395,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1438.JPG,IMG_1438.JPG,Nominal,0.504,0.496,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:12.546783,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1439.JPG,IMG_1439.JPG,Nominal,0.504,0.496,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:12.900402,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1440.JPG,IMG_1440.JPG,Nominal,0.504,0.496,Image IMG_1436.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:13.297226,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1441.JPG,IMG_1441.JPG,Nominal,0.506,0.494,Image IMG_1441.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:13.656726,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1442.JPG,IMG_1442.JPG,Nominal,0.504,0.496,Image IMG_1446.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:13.987260,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1443.JPG,IMG_1443.JPG,Nominal,0.504,0.496,Image IMG_1446.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:14.213408,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1444.JPG,IMG_1444.JPG,Nominal,0.504,0.496,Image IMG_1451.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:14.443536,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1445.JPG,IMG_1445.JPG,Nominal,0.505,0.495,Image IMG_1451.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
2024-11-07T20:33:14.663172,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1446.JPG,IMG_1446.JPG,Nominal,0.505,0.495,Image IMG_1446.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:14.878534,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1447.JPG,IMG_1447.JPG,Nominal,0.504,0.496,Image IMG_1451.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:15.103187,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1448.JPG,IMG_1448.JPG,Nominal,0.505,0.495,Image IMG_1451.JPG: A pan surface with no simulated cracks,Image IMG_1578.JPG: A pan surface with a simulated crack
2024-11-07T20:33:15.337472,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1449.JPG,IMG_1449.JPG,Nominal,0.505,0.495,Image IMG_1451.JPG: A pan surface with no simulated cracks,Image IMG_1574.JPG: A pan surface with a simulated crack
2024-11-07T20:33:15.555943,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/pan_images/test/nominal/IMG_1450.JPG,IMG_1450.JPG,Nominal,0.505,0.495,Image IMG_1451.JPG: A pan surface with no simulated cracks,Image IMG_1747.JPG: A pan surface with a simulated crack
