datetime_of_operation,nominal_train_size,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-07T20:40:58.713040,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0801.jpg,textile_0801.jpg,Defective,0.497,0.503,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0001.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:40:58.942234,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0802.jpg,textile_0802.jpg,Defective,0.499,0.501,"Image textile_0003.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:40:59.157420,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0803.jpg,textile_0803.jpg,Defective,0.499,0.501,"Image textile_0001.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:40:59.387338,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0804.jpg,textile_0804.jpg,Defective,0.498,0.502,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0001.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:40:59.603813,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0805.jpg,textile_0805.jpg,Defective,0.495,0.505,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0001.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:40:59.822866,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0806.jpg,textile_0806.jpg,Defective,0.499,0.501,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:00.043995,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0807.jpg,textile_0807.jpg,Defective,0.499,0.501,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0001.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:00.264165,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0808.jpg,textile_0808.jpg,Defective,0.496,0.504,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0001.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:00.500547,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0809.jpg,textile_0809.jpg,Defective,0.499,0.501,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:00.729332,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0810.jpg,textile_0810.jpg,Defective,0.498,0.502,"Image textile_0003.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0001.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:00.976244,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0811.jpg,textile_0811.jpg,Defective,0.5,0.5,"Image textile_0003.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:01.236655,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0812.jpg,textile_0812.jpg,Defective,0.499,0.501,"Image textile_0003.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-07T20:41:01.503605,4,https://raw.githubusercontent.com/fmegahed/qe_genai/main/data/textile_images/simulated/nominal/textile_0813.jpg,textile_0813.jpg,Defective,0.5,0.5,"Image textile_0004.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0002.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
